State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.73607	4.61603	4.51236	4.45234	4.48508	4.26137	4.07040	3.93945	3.75393	3.57933	3.47021	3.43747	3.27378	3.30652	3.42656	3.50294	3.68300	3.81941	3.58479	3.50840	3.42656
2	2.90774	2.70783	2.84413	2.69420	2.64422	2.62605	2.72146	2.74872	2.83504	2.70783	2.71691	2.80324	2.93954	2.93954	2.88956	2.82596	2.74872	2.81687	2.87139	2.72146	2.71691
3	1.21066	1.27307	1.24810	1.29553	1.28055	1.41036	1.34296	1.39538	1.40536	1.45279	1.28305	1.17322	1.11331	1.20567	1.29054	1.31550	1.33797	1.31550	1.24810	1.32299	1.27057
4	1.09882	1.09725	1.08738	1.08501	1.08225	1.06962	1.07712	1.06804	1.07909	1.08856	1.11935	1.13869	1.15645	1.15763	1.16513	1.18250	1.20105	1.21999	1.23894	1.24526	1.27367
5	0.38325	0.38447	0.38485	0.38453	0.38492	0.38652	0.38741	0.38761	0.38818	0.38927	0.39004	0.39087	0.39132	0.39145	0.39145	0.39228	0.39267	0.39292	0.39363	0.39439	0.39497
6	1.41300	1.41644	1.42124	1.42887	1.43741	1.44205	1.44819	1.46287	1.47440	1.48758	1.51004	1.52427	1.54269	1.56516	1.57429	1.58777	1.60350	1.61727	1.62851	1.64183	1.65052
7	2.39634	2.41044	2.40809	2.42688	2.53965	2.61953	2.74404	2.78398	2.76754	2.83097	2.84742	3.01187	3.10584	3.01657	3.09880	3.12934	3.10115	3.04241	3.08235	3.11054	3.15988
8	2.07573	2.09052	2.01656	2.09052	1.97712	2.06586	2.02642	2.13982	2.23350	2.15954	2.07080	2.05600	1.91795	1.92781	1.87851	1.93274	1.88344	1.82427	1.96726	2.02149	2.03628
9	1.06302	1.06302	1.07134	1.02642	0.98317	0.93992	0.97152	0.93493	0.93160	0.92162	0.90332	0.86173	0.85840	0.81182	0.77855	0.76857	0.73197	0.74029	0.75526	0.79186	0.81515
10	3.63711	3.63366	3.63193	3.62561	3.60029	3.56750	3.51169	3.45474	3.38973	3.33565	3.25971	3.16306	3.07043	2.99334	2.91855	2.81787	2.73790	2.65563	2.58027	2.49685	2.41630
