State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	7.76732	9.32753	11.42707	14.14298	17.02262	19.96005	21.55878	21.95846	21.32764	19.70001	22.94563	35.35023	43.37277	47.98116	48.92017	45.42897	38.28766	30.77555	24.42879	19.33404	15.41908
2	4.45480	4.98408	5.99052	7.47812	9.82782	13.67714	19.70375	28.03594	36.24383	39.46764	38.13642	31.73290	23.30848	16.41578	11.58808	8.25200	5.84617	4.41871	3.39623	2.93912	2.59429
3	3.83326	4.07560	4.35758	4.92156	5.58687	6.40860	6.62450	5.86666	4.20337	3.79141	3.41909	2.38367	2.31318	2.28013	2.20082	2.03119	1.82631	1.61482	1.52009	1.44739	1.35706
4	2.64456	2.59684	2.51324	2.33071	2.09872	1.78069	1.42678	1.10945	0.89975	0.77888	0.73011	0.72698	0.78724	0.86492	0.94538	1.02097	1.08890	1.14428	1.17389	1.18957	1.20733
5	0.35050	0.34824	0.34513	0.34152	0.33728	0.33027	0.32462	0.31603	0.30998	0.30665	0.30433	0.30388	0.30580	0.30981	0.31563	0.32055	0.32394	0.32711	0.32920	0.33151	0.33327
6	1.11712	1.09042	1.06200	1.02684	0.99010	0.94516	0.89758	0.84854	0.81418	0.79515	0.78629	0.79144	0.81590	0.85489	0.89005	0.93710	0.98217	1.02420	1.06464	1.09663	1.12386
7	3.45224	3.60568	3.73215	3.99963	4.00792	3.76948	3.42322	2.93596	2.70167	3.21380	3.34028	2.32430	2.35333	2.44249	2.83022	3.11013	3.42529	3.45432	3.34443	3.20965	3.07281
8	5.57846	5.52190	5.28692	4.61246	3.61164	2.51074	1.74925	1.33587	1.12266	1.31412	1.37939	1.15311	1.29236	1.68398	2.44547	5.25646	9.37286	12.71907	14.50314	15.03401	14.93392
9	1.69281	1.51223	1.25676	1.00717	0.77373	0.60195	0.53589	0.52561	0.50359	0.48156	0.48744	0.48597	0.48890	0.51827	0.58140	0.76786	1.28172	2.00994	2.85855	3.63962	4.27681
10	0.80984	0.74638	0.67631	0.60472	0.56308	0.52196	0.48641	0.46306	0.45544	0.45290	0.45036	0.45646	0.47017	0.48794	0.50825	0.54176	0.60878	0.71033	0.83879	0.98501	1.14089
