State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	29.27952	0.98713	1.30105	1.15525	1.47586	0.79197	1.18246	0.69723
2	57.58434	0.21221	0.37696	0.72334	0.40973	0.32477	0.38269	1.30770
3	0.40000	2.05969	3.07592	1.15742	2.66643	1.04924	1.51298	0.59816
4	5.95201	0.65068	3.83944	2.17940	3.18795	0.43708	0.63326	0.30169
5	2.10961	0.35991	1.04661	2.18520	0.92165	0.49005	1.19688	0.24580
6	0.69821	0.58042	1.86137	2.15484	2.04849	1.28620	4.80323	0.21798
7	2.30501	2.01259	1.74878	1.12434	2.10577	2.62547	3.21645	0.44866
8	0.46933	0.90673	2.05127	1.11270	2.28746	2.82084	3.19095	0.39150
9	0.56133	53.25431	6.79975	1.07746	2.85949	57.20922	18.68523	0.38999
10	0.64064	28.18773	5.92834	1.95724	3.50443	21.33509	21.36601	0.21860
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
