State (Emission order)	H2az	H3k4me2	H3k4me3	H3k9ac	Lsd1	H3k4me1	H4k20me1	H3k79me2	H3k36me3	H3k9me3
1	0.46390040543848937	0.9683813062623575	0.9328857297536112	0.9425182146997264	0.2703382286231915	0.35124170222346046	0.07956944049844267	0.9510626625815186	0.1133521670681405	0.008749000630176907
2	0.8208535582883324	0.8927410955577544	0.7491362165808864	0.7192601584030168	0.38567761926264005	0.5247142865460671	0.015266129266098704	0.04956767750293809	0.01711964262731189	0.014524486418029394
3	0.711516730482296	0.06928124500323268	0.04653489902112787	0.06127531072783335	0.13102326319335134	0.5038930020130947	0.004080307276233494	0.0035890067568267944	0.008065790410896317	0.015818976592322256
4	0.041135445321778846	2.711887415620825E-4	0.0011707514893255992	3.643986580433871E-4	0.03226295635623115	0.011313799574349673	0.0010498359298334176	1.948696632937026E-4	0.00134064503421533	0.01625386034948247
5	6.384502728740088E-4	1.3143006244223534E-4	4.505967770032096E-4	8.18650932801084E-5	0.015471560796543063	3.7273032668773274E-4	9.88534571967216E-4	2.729182682981363E-5	3.697886568131476E-4	0.005746910606525462
6	0.002057288062881334	2.6716805751742423E-4	8.413896455483036E-4	3.3312630899846505E-4	0.04252932146969372	0.002311448225507487	0.01661694986926726	8.658049647369738E-4	0.0038859404822245563	0.0021050561142059317
7	0.05139588080024046	0.05184100295099132	0.03444854225847608	0.03802711928108089	0.2810344138201701	0.6125597348844011	0.05425022603878656	0.027419578857358396	0.07272019863574625	0.021728603060912184
8	0.03205748496853799	0.19662055584650473	0.09895784089095076	0.14573578469557447	0.17158109795664633	0.7207516784290153	0.13090942417253937	0.9211651822536508	0.2767070153670692	0.01154264765959699
9	5.73964550004051E-4	1.750210286340349E-4	0.0014031494662709696	0.0019801273142528303	0.03327983903930495	0.04471299590427203	0.027865104368945053	0.6583508552684789	0.13964775935153328	0.01639664809624596
10	2.4357459398681675E-4	1.5830339198016577E-4	7.470766998569243E-4	0.001019519977140126	0.03618012404996438	0.005569174996092115	0.010058675457378036	0.021409539216270566	0.21382224034876518	0.012658293650516732
